Fra Station:,Aalborg,Aalborg Lufthavn,Aalborg Vestby,Aarhus H,Aarup,Albertslund,Alken,Allerød,Arden,Aulum,Avedøre,Bagsværd,Ballerup,Bedsted Thy,Bernstorffsvej,Birk Centerpark,Birkerød,Bispebjerg,Bjerringbro,Bording,Borris,Borup,Bramming,Brande,Bred,Bredebro,Brejning,Brøndby Strand,Brøndbyøster,Brønderslev,Brøns,Brørup,Buddinge,Bur,Børkop,Carlsberg,Charlottenlund,Danshøj,Dybbølsbro,Dyssegård,Døstrup Sdj,Egedal,Ejby,Emdrup,Engesvang,Esbjerg,Eskilstrup,Espergærde,Farum,Favrholm Station,Flintholm,Fredericia,Frederikshavn,Frederikssund,Friheden,Fruens Bøge,Fuglebakken,Gadstrup,Gelsted,Gentofte,Give,Gjesing,Glostrup,Glumsø,Gredstedbro,Greve,Gråsten,Grøndal,Guldager,Gårde,Gødstrup,Gørding,Hadsten,Hammerum,Hareskov,Haslev,Havdrup,Hedehusene,Hedensted,Hee,Hellerup,Helsingør,Herfølge,Herlev,Herning,Herning Messecenter,Hillerød,Hinnerup,Hjallese,Hjerm,Hjørring,Hjørring Øst,Hobro,Holbæk,Holme-Olstrup,Holmstrup,Holstebro,Holsted,Holte,Horsens,Humlebæk,Humlum,Hundige,Hurup Thy,Husum,Hvalsø,Hvidbjerg,Hviding,Hvidovre,Højby,Høje Taastrup,Højslev,Hørdum,Hørning,Høvelte,Ikast,Ishøj,Islev,Jelling,Jerne,Jersie,Jyderup,Jyllingevej,Jægersborg,KB Hallen,Kalundborg,Kalundborg Øst,Karlslunde,Kauslunde,Kibæk,Kildebakke,Kildedal,Klampenborg,Kliplev,Knabstrup,Kokkedal,Kolding,Korsør,Kvissel,Kværndrup,København H,København Syd (Ny Ellebjerg),"Københavns Lufthavn, Kastrup",Køge,Køge Nord,Langeskov,Langgade,Langå,Laven,Lejre,Lem,Lille Skensved,Lindholm,Lundby,Lunderskov,Lyngby,Lyngs,Malmparken,Middelfart,Måløv,Mørkøv,Nivå,Nordhavn,Nyborg,Nykøbing F,Næstved,Næstved Nord,Nørre Aaby,Nørre Alslev,Nørrebro,Nørreport,Oddesund Nord,Odense,Odense Sygehus,Ordrup,Padborg,Pederstrup,Peter Bangs Vej,Randers,Regstrup,Rejsby,Ribe,Ribe Nørremark,Ringe,Ringkøbing,Ringsted,Roskilde,Roskilde Festivalsplads,Rudme,Rungsted Kyst,Ry,Ryparken,Rødekro,Rødkærsbro,Rødovre,Sejstrup,Sig,Silkeborg,Sindal,Sjælør,Sjørring,Skalbjerg,Skalborg,Skanderborg,Skive,Skjern,Skodsborg,Skovbrynet,Skovlunde,Skærbæk,Skørping,Slagelse,Snedsted,Snekkersten,Solrød Strand,Sorgenfri,Sorø,Spangsbjerg,Sparkær,Stengården,Stenløse,Stenstrup,Stenstrup Syd,Stoholm,Struer,Studsgård,Støvring,Svanemøllen,Svebølle,Svejbæk,Svendborg,Svendborg Vest,Svenstrup,Sydhavn,Sønderborg,Taastrup,Tarm,Taulov,Thisted,Thyregod,Tim,Tinglev,Tistrup,Tjæreborg,Tolne,Tommerup,Trekroner,Troldhede,Tureby,Tårnby,Tølløse,Tønder,Tønder Nord,Uglev,Ulfborg,Ulstrup,Valby,Vallensbæk,Vamdrup,Vangede,Vanløse,Varde,Varde Kaserne,Varde Nord,Vedbæk,Vejen,Vejle,Vejle Sygehus,Veksø,Vemb,Vesterport,Viborg,Viby J,Viby Sj,Vigerslev Allé,Vildbjerg,Vinderup,Vinge,Vipperød,Virum,Visby,Vojens,Vordingborg,Vrå,Værløse,Ydby,Ålholm,Åmarken,Årslev,Ølby,Ølgod,Ølstykke,Ørestad,Østerport
Aalborg,-1,-1,-1,197617,192,64,21,145,-1,110,57,41,51,5,37,169,120,0,2518,254,47,92,1142,860,3,18,216,40,41,-1,19,253,111,0,206,56,36,25,115,74,4,39,139,67,279,6360,21,175,135,3,55,8441,36805,59,104,19,18,3,56,35,212,1,81,36,2,56,499,18,5,30,50,133,10618,352,13,31,0,120,870,3,2101,407,2,64,6460,56,398,1666,56,52,-1,-1,-1,302,3,12,1632,127,112,15114,140,9,21,3,61,114,7,11,136,14,1911,202,4,672,3,1129,55,55,324,0,61,22,35,46,4,32,34,31,15,59,37,17,162,98,4,219,4525,1377,1735,15,63165,543,7381,437,1560,163,146,14941,253,35,3,0,-1,24,261,221,0,35,2371,60,15,98,135,2099,1120,1146,1,132,70,8,1065,0,22899,127,95,484,10,26,72968,1,6,85,83,151,64,3688,3181,0,4,111,1692,35,1525,724,68,10,17,6418,9869,122,15,10,-1,15020,2280,722,64,7,46,20,-1,4400,2,103,16,21,949,30,68,65,55,81,0,492,3880,5,-1,155,11,420,888,425,-1,187,1891,48,113,44,13,168,1,454,42,16,2106,171,196,14,13,102,8,25,23,8,30,439,1347,26,427,53,115,273,131,30,63,711,25005,2,0,8,99,4612,536,108,10,273,407,0,11,67,4,1230,537,-1,90,1,0,49,57,25,271,29,350,686
Aalborg Lufthavn,-1,-1,-1,892,0,3,0,3,-1,0,0,3,3,0,0,0,0,0,27,0,4,0,0,6,0,4,0,0,3,-1,0,0,0,0,0,3,3,0,16,0,0,0,0,0,0,2,0,0,3,0,0,23,617,3,3,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,44,0,3,0,0,7,0,0,7,0,0,0,33,0,13,13,0,0,-1,-1,-1,7,0,0,4,0,0,38,0,0,0,4,13,0,0,0,3,0,16,0,0,4,0,6,0,0,0,0,0,0,3,10,0,0,0,0,0,4,0,0,3,0,0,6,0,10,8,0,218,0,105,3,0,0,0,15,0,0,0,0,-1,0,0,3,0,0,4,0,0,0,6,13,16,7,0,0,0,0,14,0,31,0,0,0,0,0,457,0,0,0,0,0,0,13,23,0,0,0,19,7,2,6,0,0,0,48,-1,3,4,0,-1,45,6,0,0,0,0,0,-1,26,0,0,7,3,0,0,0,0,0,0,0,10,8,0,-1,10,0,0,29,54,-1,7,0,0,0,2,6,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,10,0,4,3,7,4,0,0,0,0,60,0,3,0,7,61,4,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,4,0,0,9
Aalborg Vestby,-1,-1,-1,5263,5,0,0,3,-1,8,0,0,3,1,0,14,0,0,32,4,0,0,3,8,0,0,3,0,0,-1,0,0,10,0,5,0,0,0,0,0,0,0,2,0,20,57,0,1,7,0,0,150,8977,3,3,0,0,0,0,0,6,0,0,0,0,7,1,0,0,0,6,0,93,17,0,0,0,7,7,0,65,4,0,3,239,0,7,25,0,0,-1,-1,-1,0,0,0,35,1,3,308,4,0,0,0,3,1,0,0,3,0,27,4,0,13,0,37,0,0,4,0,0,0,0,3,0,0,0,0,0,4,3,0,12,0,0,2,86,5,462,6,838,20,283,3,0,1,3,106,0,0,0,0,-1,0,12,0,0,0,34,3,1,0,0,17,34,29,6,1,0,0,17,0,295,6,0,4,0,0,2603,0,0,2,0,0,0,50,36,0,0,1,18,0,22,11,0,0,0,240,-1,0,4,0,-1,553,50,15,0,0,0,0,-1,44,0,1,0,0,9,0,0,3,0,0,0,15,52,0,-1,3,0,20,31,0,-1,20,13,3,4,0,2,2,0,18,0,0,305,1,1,0,0,12,0,0,0,0,0,0,22,0,6,7,3,11,0,0,2,2,549,0,3,0,0,64,46,0,0,55,6,0,0,0,0,17,10,-1,0,0,0,3,0,0,0,0,8,22
Aarhus H,196744,719,5757,-1,946,479,-1,1270,5802,1604,74,332,411,191,245,1836,688,35,-1,1404,224,291,11158,4440,103,97,3837,100,224,5244,38,1880,396,825,5607,1496,560,244,1736,308,11,54,520,789,2574,31660,21,515,392,0,390,49493,5296,337,301,161,73,3,261,227,3135,81,672,92,71,99,2212,44,33,58,1778,743,-1,1954,252,103,34,269,21621,40,6967,1409,19,557,24062,269,1924,-1,368,102,12436,412,49109,461,7,63,10785,1240,795,-1,576,76,191,449,357,197,173,227,365,106,5554,1615,46,-1,7,6984,255,176,5302,34,22,27,145,611,125,121,1,93,95,718,219,28,800,395,5,655,72037,3466,148,244,251889,2756,38872,1706,4464,588,103,-1,-1,188,367,6,4381,61,2962,9073,37,264,14960,257,38,263,1605,7787,2930,3180,10,1199,205,87,6530,22,105751,1396,192,1854,14,323,-1,17,89,1573,348,1269,517,9294,10593,0,98,337,-1,460,8644,-1,298,42,114,-1,1013,518,217,61,3608,-1,19294,5464,170,90,162,408,8152,11240,162,280,192,369,2864,48,349,357,166,531,39,1636,6955,91,6452,1366,25,-1,4166,2013,4802,892,8549,226,816,1342,734,2211,47,2744,144,115,728,839,742,210,16,413,152,349,168,87,163,-1,5588,137,1214,305,540,1817,122,165,184,8914,186451,871,45,91,5058,65317,-1,238,25,2183,1541,17,40,382,46,5674,1920,1356,420,77,34,261,258,170,817,97,1750,4437
Aarup,167,0,3,847,-1,1,4,13,0,0,3,7,27,0,0,2,1,3,1,4,0,2,55,17,-1,0,-1,7,9,0,0,14,23,0,-1,17,10,0,278,0,0,0,-1,21,5,215,0,1,7,0,14,-1,3,0,13,-1,10,3,-1,0,36,0,5,0,1,7,19,0,0,0,6,0,30,9,11,0,0,6,-1,0,72,42,0,1,164,0,58,12,-1,5,11,0,55,41,0,-1,29,9,7,166,13,0,0,4,0,1,0,0,3,-1,166,0,0,11,0,260,1,3,43,0,0,0,3,7,0,0,0,10,-1,0,0,0,6,0,0,9,-1,110,0,-1,2485,119,221,54,82,-1,0,31,0,0,0,0,10,0,-1,17,0,7,-1,0,0,14,14,-1,25,74,0,-1,0,0,143,0,-1,-1,7,25,-1,0,38,0,1,11,2,-1,1,103,228,0,-1,6,16,0,93,0,11,0,0,59,0,13,1,-1,1,131,22,33,1,0,0,2,0,277,4,2,0,7,63,0,0,3,7,-1,-1,1,39,0,3,21,0,11,430,-1,0,8,58,8,1,-1,21,10,0,38,1,1,0,-1,1,0,0,7,6,1,1,0,0,0,167,0,-1,3,9,5,0,0,0,95,-1,-1,0,0,13,60,28,14,0,1,0,0,0,4,0,-1,6,0,0,0,7,3,-1,21,0,0,31,138
Albertslund,64,3,0,479,1,-1,0,-1,7,1,-1,-1,-1,0,-1,0,-1,-1,14,0,1,-1,11,5,3,1,13,-1,-1,0,0,10,-1,0,13,-1,-1,-1,-1,-1,0,-1,0,-1,6,34,9,-1,-1,-1,-1,164,4,-1,-1,0,-1,-1,0,-1,1,4,-1,917,0,-1,4,-1,0,0,4,0,9,0,-1,-1,-1,-1,7,0,-1,-1,-1,-1,36,0,-1,2,24,0,8,0,16,-1,35,0,7,3,-1,210,-1,1,-1,0,-1,-1,0,7,-1,4,-1,6,0,4,-1,11,-1,-1,0,0,-1,264,-1,-1,-1,512,51,-1,0,0,-1,-1,-1,0,96,-1,2934,510,0,11,-1,-1,-1,-1,-1,89,-1,5,0,-1,0,-1,0,54,0,-1,0,-1,179,-1,135,-1,-1,613,974,6506,23,84,86,-1,-1,0,2064,16,-1,3,0,-1,113,-1,0,7,4,12,4,-1,-1,-1,0,-1,8,-1,38,0,-1,0,0,61,0,-1,0,0,0,86,14,7,-1,-1,-1,24,3,6548,6,-1,-1,-1,971,0,0,-1,-1,5,0,0,22,0,3,-1,116,0,70,49,10,-1,17,-1,1,0,13,0,0,21,1,0,0,35,-1,1,-1,-1,-1,4,1,0,0,1,-1,-1,1,-1,-1,11,0,0,-1,25,298,0,-1,2,-1,35,5,-1,-1,10,0,-1,-1,-1,0,14,667,4,-1,5,-1,-1,8,-1,0,-1,-1,-1
Alken,21,0,0,-1,4,0,-1,0,1,0,0,0,0,0,0,2,0,0,-1,-1,0,0,6,-1,0,0,-1,0,0,2,0,0,0,0,-1,5,0,1,0,0,0,0,1,0,-1,67,0,0,0,0,1,42,2,0,1,0,0,0,0,0,-1,0,6,0,4,4,0,0,0,3,22,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,73,2,1,-1,0,0,4,0,12,1,0,0,16,0,0,-1,0,1,0,0,2,0,0,0,1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,260,5,11,0,0,0,1,-1,-1,0,0,0,1,0,0,0,0,0,14,0,0,4,0,1,6,0,0,0,0,0,12,0,72,2,0,0,0,0,-1,0,0,2,0,2,680,17,6,0,0,0,-1,0,6,-1,0,0,0,-1,0,0,0,0,0,-1,50,1166,0,0,0,0,8,32,1,0,0,1,0,0,0,0,0,0,0,0,40,0,4,4,0,-1,27,1,0,2,0,0,20,0,0,-1,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,4,0,0,4,5,0,2,0,0,-1,-1,0,0,1,14,-1,0,0,3,0,0,0,0,0,12,4,0,0,0,0,0,4,0,3,0,2,1
Allerød,145,3,3,1270,13,-1,0,-1,0,4,-1,-1,-1,0,-1,0,-1,-1,5,1,0,-1,26,20,0,0,61,-1,-1,0,0,0,-1,0,8,-1,-1,-1,-1,-1,0,-1,13,-1,2,99,1,-1,-1,-1,-1,399,8,-1,-1,4,-1,-1,16,-1,2,0,-1,67,0,-1,21,-1,0,0,4,0,25,0,-1,210,-1,-1,7,0,-1,-1,22,-1,84,5,-1,5,24,0,12,0,81,-1,15,0,57,0,-1,186,-1,0,-1,31,-1,-1,0,10,-1,0,-1,6,0,8,-1,40,-1,-1,4,0,-1,49,-1,-1,-1,152,40,-1,0,0,-1,-1,-1,0,5,-1,194,159,0,4,-1,-1,-1,-1,-1,34,-1,1,4,-1,0,-1,0,22,38,-1,0,-1,270,-1,29,-1,-1,1382,373,923,16,188,45,-1,-1,0,2721,47,-1,14,0,-1,39,42,7,1,14,96,0,1614,-1,-1,1,-1,70,-1,33,5,-1,0,0,113,0,-1,0,0,3,189,21,1,-1,-1,-1,0,4,1065,2,-1,-1,-1,400,0,0,-1,-1,19,5,0,35,1,0,-1,14,5,125,53,0,-1,55,-1,0,0,6,4,0,33,0,0,0,27,-1,0,16,-1,-1,0,2,4,1,4,-1,-1,7,-1,-1,18,6,0,-1,43,313,0,-1,0,-1,30,2,-1,-1,4,2,-1,-1,-1,0,23,274,0,-1,1,-1,-1,33,-1,0,-1,-1,-1
Arden,-1,-1,-1,5662,1,7,1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,6,8,2,0,2,0,0,938,0,1,0,0,1,0,1,0,0,0,0,0,13,3,0,77,0,1,3,0,0,90,218,0,0,0,0,0,0,0,2,0,10,1,19,0,10,0,0,0,0,2,266,4,0,0,0,3,7,0,25,2,0,0,115,0,1,47,0,0,532,3,-1,8,0,0,98,1,0,248,0,0,3,1,0,0,0,0,3,4,31,1,0,16,0,58,10,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,75,25,62,0,961,48,72,11,25,3,0,-1,4,3,0,0,-1,0,2,0,1,0,35,0,0,5,0,15,29,22,0,1,0,0,29,0,261,0,0,5,0,0,-1,0,0,0,0,4,21,71,51,0,0,0,23,0,7,1,0,0,0,156,479,0,6,0,-1,237,124,1,2,0,0,4,-1,59,0,0,0,0,3,0,0,0,7,0,0,19,98,0,-1,3,0,0,4,0,-1,0,20,3,0,0,0,4,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,-1,15,0,1,0,3,88,4,0,0,2,239,0,0,0,0,-1,60,0,0,0,7,0,1,3,0,29,14,120,3,4,0,0,0,7,0,0,3,16
Aulum,101,0,8,1501,2,1,0,4,0,-1,4,6,4,26,0,-1,0,0,25,-1,-1,0,11,-1,0,0,10,4,0,4,0,3,0,-1,23,6,0,0,0,0,0,0,4,0,-1,34,0,1,0,0,2,278,0,0,0,0,0,0,0,0,54,5,6,0,0,0,0,0,4,0,-1,1,27,-1,0,0,0,5,30,-1,49,6,0,0,-1,-1,19,5,0,-1,6,0,57,2,0,10,-1,1,47,5771,21,-1,0,26,0,0,-1,0,4,2,53,-1,5,32,0,-1,7,0,90,0,0,0,0,0,0,0,0,0,0,-1,0,0,20,0,0,4,22,33,0,0,1328,7,154,13,29,10,1,88,3,4,-1,0,0,6,20,81,-1,0,55,1,1,6,7,21,14,14,0,0,7,0,22,-1,281,0,0,4,0,0,112,0,3,4,0,0,-1,63,28,0,4,2,53,0,20,-1,0,0,3,-1,0,0,56,0,0,68,-1,-1,0,0,0,0,4,62,7,0,0,0,11,0,-1,0,0,0,0,-1,-1,-1,3,0,0,8,6,2,2,19,4,6,-1,0,78,-1,-1,18,3,0,0,12,0,-1,0,2,0,2,0,-1,-1,2,33,0,0,0,0,30,25,8,0,6,302,12,0,-1,6,-1,121,1,0,-1,-1,0,0,4,0,15,1,0,4,5,0,4,0,0,24,0,11,9
