Fra Station:,Aalborg,Aarhus H,Holbæk,København H,Nyborg,Næstved,Odense,Ringsted,Slagelse,Vejle
Aalborg,-1,197617,302,63165,2099,1146,22899,3688,4400,25005
Aarhus H,196744,-1,461,251889,7787,3180,105751,9294,11240,186451
Holbæk,259,390,-1,231810,1215,3666,3438,-1,-1,456
København H,60909,246956,238682,-1,193284,202875,568503,223549,228301,86443
Nyborg,1970,7610,1443,180104,-1,4280,-1,18439,-1,3637
Næstved,1198,3111,4177,201006,4128,-1,14504,-1,-1,1349
Odense,21994,104650,4042,559133,-1,14380,-1,67029,140929,74660
Ringsted,3610,9530,-1,217769,19777,-1,67792,-1,-1,5127
Slagelse,4220,11581,-1,220991,-1,-1,140199,-1,-1,5994
Vejle,24165,185758,560,86990,3507,1347,72146,4998,5828,-1
