time,evtol_id,state,node_from,node_to,op,is_p,is_o,battery_level,battery_after_op,onboard_passenger_count,onboard_groups,onboard_group_sizes,served_groups_evtol,x,y,x_from,y_from,x_to,y_to
0,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
1,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
2,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
3,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
4,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
5,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
6,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
7,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
8,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
9,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
10,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
11,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
12,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
13,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
14,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
15,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
16,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
17,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
18,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
19,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
20,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
21,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
22,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
23,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
24,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
25,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
26,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
27,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
28,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
29,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
30,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
31,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
32,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
33,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
34,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
35,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
36,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
37,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
38,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
39,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
40,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
41,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
42,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
43,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
44,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
45,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
