scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Base,1,1371.5123136923175,19331.512313692318,0.15504807692307693,39.0,8,4.375
Base,2,10261.112124804386,27941.112124804386,0.17910256410256412,81.0,11,1.8181818181818181
Base,3,184.91775254463937,19264.91775254464,0.14833333333333334,105.0,8,4.25
Base,4,-923.4898615490165,17576.510138450984,0.15625,72.0,7,0.5714285714285714
Base,5,-4969.932934636292,13530.067065363708,0.13205128205128205,46.0,7,10.571428571428571
Base,6,1100.2869587711139,20740.286958771114,0.1525,72.0,9,1.5555555555555556
Base,7,-948.0202705111042,18451.979729488896,0.10801282051282052,42.0,5,10.4
Base,8,-7637.425455380391,11862.574544619609,0.1387820512820513,48.0,7,8.714285714285714
Base,9,6402.792089441446,23662.792089441446,0.14666666666666667,48.0,9,0.0
Base,10,-8732.811585518244,9547.188414481756,0.13707264957264959,58.0,5,1.4
Base,11,10799.540495993006,27579.540495993006,0.2221153846153846,91.0,13,2.6153846153846154
Base,12,15307.991134015032,32507.991134015032,0.21196581196581196,18.0,8,2.875
Base,13,-6053.246180218048,11046.753819781952,0.15384615384615385,0.0,4,4.25
Base,14,-38.64365846765213,16961.356341532348,0.21816239316239316,68.0,7,4.714285714285714
Base,15,6629.662509784459,24229.66250978446,0.15064102564102563,0.0,4,2.75
Base,16,6686.6475843882945,24406.647584388294,0.14449786324786323,94.0,9,0.0
Base,17,4287.347777012783,21767.347777012783,0.20683760683760682,68.0,7,4.857142857142857
Base,18,-2208.3910090171885,15031.608990982812,0.14743589743589744,84.0,8,1.875
Base,19,-5707.410761016381,12692.589238983619,0.12307692307692308,16.0,3,3.6666666666666665
Base,20,2347.2101712049225,21727.210171204923,0.14435897435897435,83.0,8,0.0
