run,best_obj,profit,iterations
1,1371.5123136923175,19331.512313692318,3752
2,10261.112124804386,27941.112124804386,4885
3,184.91775254463937,19264.91775254464,4558
4,-923.4898615490165,17576.510138450984,3121
5,-4969.932934636292,13530.067065363708,4793
6,1100.2869587711139,20740.286958771114,5503
7,-948.0202705111042,18451.979729488896,3134
8,-7637.425455380391,11862.574544619609,4463
9,6402.792089441446,23662.792089441446,4960
10,-8732.811585518244,9547.188414481756,4172
11,10799.540495993006,27579.540495993006,5442
12,15307.991134015032,32507.991134015032,4367
13,-6053.246180218048,11046.753819781952,7206
14,-38.64365846765213,16961.356341532348,7013
15,6629.662509784459,24229.66250978446,8889
16,6686.6475843882945,24406.647584388294,4848
17,4287.347777012783,21767.347777012783,6452
18,-2208.3910090171885,15031.608990982812,4880
19,-5707.410761016381,12692.589238983619,6550
20,2347.2101712049225,21727.210171204923,3880
