run,best_obj,profit,iterations
1,26218.97306415644,48058.97306415644,3516
2,16196.057098882608,35296.05709888261,3419
3,18927.45529868189,39727.45529868189,1426
4,18706.150079288862,38786.15007928886,2119
5,27292.68540262396,50772.68540262396,1220
6,23962.251263260434,44622.251263260434,1809
7,17288.760493415495,39268.760493415495,1027
8,14082.867485153736,36042.867485153736,1273
9,26759.755221551357,48319.75522155136,142
10,27434.02257918746,46694.02257918746,3796
11,8057.886807938645,28957.886807938645,5700
12,9459.57739673373,29339.57739673373,4186
13,15372.738169909288,35712.73816990929,4149
14,6631.777032965976,25531.777032965976,3869
15,20503.817793488794,41943.81779348879,4061
16,24912.162582155914,44932.162582155914,4286
17,-2118.028216941835,20861.971783058165,3811
18,31545.025431080037,53785.02543108004,2983
19,44634.957401055886,66314.95740105589,4760
20,13238.816551438424,35178.81655143842,3086
