scenario,best_obj_mean,best_obj_std,best_profit_mean,best_profit_std,aircraft_utilization_mean,aircraft_utilization_std,deadhead_time_mean,deadhead_time_std,passenger_demand_served_mean,passenger_demand_served_std,average_passenger_waiting_time_mean,average_passenger_waiting_time_std
Base,1407.9824597669042,6522.92205096805,19492.982459766903,6169.840288857127,0.1588378739316239,0.03201419340070396,56.65,30.807167655390984,7.35,2.3902213066443956,3.5629680042180043,3.1679439542945356
s1,2962.4563508974366,7196.89150656908,20540.456350897435,6802.333498278185,0.11377377136752131,0.021739835548010022,37.3,30.471902502227575,7.1,2.245463262482353,2.603001443001443,3.0486011911770508
s2,23806.17866907149,8580.70000864446,41880.178669071494,8423.773904930851,0.17361439255189254,0.03487132295125316,172.95,65.55309218287755,10.9,1.5525869752736798,3.044790764790765,2.02771220115923
s3,-566.8005188671302,6559.310830534489,17330.19948113287,6422.735801258842,0.18574732905982902,0.045028958538298275,38.15,32.226623514695035,7.55,2.372540277512914,3.192613636363636,2.311762143883834
s4,-3575.442016313596,5913.55472551347,15947.557983686402,6062.090892371594,0.15836393467643464,0.02719973842459538,59.55,30.90473477606542,7.2,3.172248082155121,1.5232489732489731,1.6396075007390267
s5,27948.04740102307,13430.817251540093,46368.04740102307,13327.71408399275,0.11061408730158725,0.0183891685847214,171.95,55.599578756450455,11.2,2.46234804500437,2.8301069763569764,2.0127904864720136
s6,28633.130215457804,10025.358979236775,46725.1302154578,9955.888633034885,0.19318598646723642,0.030829310475800693,149.95,48.630156335993384,11.8,1.7651599003161755,2.8596365440115443,1.6014627019210947
s7,3575.018591913003,9416.029816352302,23001.018591913005,10163.807669858976,0.18020627289377283,0.03804528816737887,56.85,44.84743142325051,7.95,3.170173496829472,1.7552651515151514,1.740361504831787
s8,26746.200254990585,14947.994628295046,44519.20025499059,15127.02498357874,0.12309650361212858,0.017502299773500228,116.15,51.154333046905066,11.15,2.158825216591068,3.9402281052281056,2.4659571363776913
s9,19455.385446801356,10299.593913930887,40507.38544680136,10549.40839405997,0.18097587250712246,0.028793644045743107,139.95,60.38165894410409,10.7,1.7800059136507322,3.1184464146964146,2.029958417117838
s10,22386.848187811112,10918.578813788847,42958.84818781111,11287.717374668026,0.1196494009462759,0.02329929187055868,109.75,51.00141896890816,10.55,2.625281939746262,3.239625790875791,2.4039583993666773
