run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
1,12.399539355534216,17432.399539355534,0.1381054131054131,281.0,10,0.7
2,1784.2706497946056,19084.270649794606,0.20427350427350427,109.0,6,2.0
3,5932.821527841541,22292.82152784154,0.14358974358974358,303.0,12,6.25
4,-3176.9330027526485,12823.066997247352,0.16025641025641027,80.0,6,11.666666666666666
5,5746.745931553902,23586.7459315539,0.14615384615384616,243.0,10,3.9
6,-960.68487280115,15619.31512719885,0.13653846153846153,185.0,6,2.5
7,1886.1992715820234,18706.199271582023,0.3153846153846154,15.0,4,7.5
8,-1827.357956725209,14052.642043274791,0.15256410256410258,38.0,3,0.0
9,3321.985530167236,20781.985530167236,0.115,121.0,5,4.0
10,-2644.7223008835535,12855.277699116446,0.22179487179487178,38.0,6,9.166666666666666
11,-1677.9770134379578,15062.022986562042,0.15576923076923077,19.0,4,2.25
12,490.8136626894666,16770.813662689467,0.28173076923076923,101.0,5,5.6
13,3143.9729866383823,19363.972986638382,0.1294871794871795,125.0,6,4.333333333333333
14,3166.777150373404,19426.777150373404,0.18822115384615384,131.0,8,7.5
15,5627.985303573838,21527.985303573838,0.17094017094017094,43.0,6,10.5
16,8534.803927246063,24714.803927246063,0.1735977564102564,311.0,10,7.1
17,821.2440677706909,17521.24406777069,0.18846153846153846,36.0,5,7.8
18,-3027.6045829270042,14272.395417072996,0.19615384615384615,84.0,6,10.666666666666666
19,8719.570929754373,24159.570929754373,0.17564102564102563,141.0,9,5.666666666666667
20,-1303.4711606049786,14836.528839395021,0.1560897435897436,124.0,5,7.4
