season,run,realised_idx,weather_label,severe,in_sample_RP,realised_profit,realised_actual_profit,n_committed_poolA,n_active_evtols,first_stage_cost,committed_missed,poolB_appeared,poolB_served,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Sommer,1,1,E-Mod / AboveZero,0,-5827.319563191497,9454.602080645584,9794.602080645582,1,2,16700.0,0,23,2,0.16666666666666666,41.0,3,3.6666666666666665
Sommer,1,2,S-Mod / AboveZero,0,-5827.319563191497,10861.487314233107,11201.487314233105,1,2,16700.0,0,32,2,0.11602564102564103,93.0,1,10.0
Sommer,1,3,S-Mild / AboveZero,0,-5827.319563191497,12568.635389482595,12928.635389482592,1,2,16700.0,0,31,3,0.1346153846153846,126.0,1,10.0
Sommer,1,4,N-Mild / AboveZero,0,-5827.319563191497,2875.599883661553,3235.599883661551,1,2,16700.0,0,34,2,0.20384615384615384,115.0,3,0.0
Sommer,1,5,W-Str / AboveZero,1,-5827.319563191497,27028.614224124067,27468.61422412408,1,2,16700.0,0,34,4,0.21944444444444444,64.0,4,3.75
Sommer,1,6,N-Mod / AboveZero,0,-5827.319563191497,1520.2542328007078,1640.2542328007075,1,2,16700.0,0,34,1,0.1717948717948718,88.0,2,0.5
Sommer,1,7,E-Mild / AboveZero,0,-5827.319563191497,19731.135389482588,20091.13538948259,1,2,16700.0,0,23,3,0.16602564102564102,77.0,3,4.333333333333333
Sommer,1,8,E-Mild / AboveZero,0,-5827.319563191497,1203.6142241240827,1683.6142241240814,1,2,16700.0,0,34,2,0.2078525641025641,62.0,4,4.5
Sommer,1,9,E-Mild / AboveZero,0,-5827.319563191497,9952.25174876808,10432.251748768082,1,2,16700.0,0,32,4,0.22708333333333333,85.0,4,3.75
Sommer,1,10,E-Mild / AboveZero,0,-5827.319563191497,9849.843756949032,10329.843756949034,1,2,16700.0,0,26,3,0.23141025641025642,113.0,4,2.5
Sommer,2,1,E-Mild / AboveZero,0,-17276.44134345343,15711.94779621571,16491.94779621571,1,3,17100.0,0,33,5,0.21175213675213675,198.0,4,9.5
Sommer,2,2,W-Mild / AboveZero,0,-17276.44134345343,3756.781303809502,3936.781303809501,1,3,17100.0,0,26,3,0.152991452991453,151.0,2,6.5
Sommer,2,3,S-Mild / AboveZero,0,-17276.44134345343,20902.89150032099,21642.891500321006,1,3,17100.0,0,30,6,0.20512820512820512,189.0,4,8.75
Sommer,2,4,N-Mild / AboveZero,0,-17276.44134345343,10946.772914126592,11286.772914126592,1,3,17100.0,0,27,3,0.11538461538461539,119.0,2,11.5
Sommer,2,5,W-Mod / AboveZero,0,-17276.44134345343,15714.550190323513,16214.55019032352,1,3,17100.0,0,33,5,0.20384615384615384,190.0,4,10.0
Sommer,2,6,E-Mod / AboveZero,0,-17276.44134345343,16568.002446951534,17068.00244695154,1,3,17100.0,0,26,4,0.25448717948717947,74.0,4,10.0
Sommer,2,7,W-Mild / AboveZero,0,-17276.44134345343,2940.204099468536,3120.2040994685412,1,3,17100.0,0,29,2,0.152991452991453,136.0,2,14.0
Sommer,2,8,S-Mild / AboveZero,0,-17276.44134345343,12730.146646420355,13210.146646420359,1,3,17100.0,0,33,3,0.21153846153846154,112.0,3,8.666666666666666
Sommer,2,9,N-Mild / AboveZero,0,-17276.44134345343,4431.542650655966,5011.542650655967,1,3,17100.0,0,24,4,0.23076923076923078,173.0,5,7.6
Sommer,2,10,N-Mild / AboveZero,0,-17276.44134345343,4051.6180439060217,4851.618043906019,1,3,17100.0,0,33,6,0.20512820512820512,154.0,5,6.8
