season,run,realised_idx,weather_label,severe,in_sample_RP,realised_profit,realised_actual_profit,n_committed_poolA,n_active_evtols,first_stage_cost,committed_missed,poolB_appeared,poolB_served,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Vinter,1,1,W-Mod / AboveZero,0,-11930.92828703961,20493.041178324514,21033.041178324536,0,5,18200.0,0,27,7,0.172008547008547,174.0,3,8.666666666666666
Vinter,1,2,W-Mod / AboveZero,0,-11930.92828703961,7749.864224124083,8129.864224124081,0,5,18200.0,0,31,4,0.2128205128205128,65.0,4,9.0
Vinter,1,3,W-Mild / AboveZero,0,-11930.92828703961,0.0,0.0,0,5,18200.0,0,35,0,0.0,0.0,0,0.0
Vinter,1,4,S-Mild / AboveZero,0,-11930.92828703961,-864.7646096151711,-864.7646096151711,0,5,18200.0,0,22,1,0.07692307692307693,32.0,0,0.0
Vinter,1,5,N-Mild / AboveZero,0,-11930.92828703961,9757.04950202109,10117.049502021087,0,5,18200.0,0,28,4,0.19230769230769232,130.0,2,18.0
Vinter,1,6,W-Mild / AboveZero,0,-11930.92828703961,1846.4003663059596,1906.4003663059593,0,5,18200.0,0,27,1,0.11538461538461539,65.0,0,0.0
Vinter,1,7,W-Mod / AboveZero,0,-11930.92828703961,0.0,0.0,0,5,18200.0,0,19,0,0.0,0.0,0,0.0
Vinter,1,8,N-Mild / AboveZero,0,-11930.92828703961,13909.978103995822,14289.978103995822,0,5,18200.0,0,30,5,0.12179487179487179,160.0,1,0.0
Vinter,1,9,W-Mod / AboveZero,0,-11930.92828703961,0.0,0.0,0,5,18200.0,0,31,0,0.0,0.0,0,0.0
Vinter,1,10,E-Mild / VeryCold,1,-11930.92828703961,0.0,0.0,0,5,18200.0,0,25,0,0.0,0.0,0,0.0
Vinter,2,1,W-Mild / AboveZero,0,-30236.563820302566,-9710.032441820982,-9330.032441820986,3,5,17300.0,0,29,2,0.16557692307692307,268.0,4,0.5
Vinter,2,2,S-Mild / AboveZero,0,-30236.563820302566,-1894.2453314625898,-1414.2453314626036,3,5,17300.0,0,30,4,0.17955128205128204,177.0,6,4.833333333333333
Vinter,2,3,S-Mod / AboveZero,0,-30236.563820302566,-5014.913647911521,-4154.913647911533,3,5,17300.0,0,28,5,0.19801282051282051,291.0,6,2.0
Vinter,2,4,S-Mild / AboveZero,0,-30236.563820302566,-6373.359945550791,-5473.3599455507865,3,5,17300.0,0,27,4,0.17423076923076924,266.0,6,4.333333333333333
Vinter,2,5,E-Mild / AboveZero,0,-30236.563820302566,-4746.005596447998,-4006.0055964480052,3,5,17300.0,0,35,4,0.2,215.0,8,7.375
Vinter,2,6,S-Mild / Cold,0,-30236.563820302566,-102045.5297437114,-1885.5297437114123,3,5,17300.0,2,28,0,0.15,29.0,1,0.0
Vinter,2,7,E-Mod / AboveZero,0,-30236.563820302566,-6918.6987636693075,-5818.698763669308,3,5,17300.0,0,29,6,0.23147435897435897,263.0,8,5.375
Vinter,2,8,W-Str / AboveZero,1,-30236.563820302566,5149.285081015269,6489.285081015289,3,5,17300.0,0,33,7,0.21839506172839507,271.0,9,6.888888888888889
Vinter,2,9,W-Mod / AboveZero,0,-30236.563820302566,3625.029557115161,4345.029557115173,3,5,17300.0,0,33,5,0.1576923076923077,244.0,5,5.6
Vinter,2,10,W-Mod / AboveZero,0,-30236.563820302566,7068.268221541987,7688.2682215419845,3,5,17300.0,0,24,5,0.18794871794871795,262.0,6,3.6666666666666665
