season,run,realised_idx,weather_label,severe,in_sample_RP,realised_profit,realised_actual_profit,n_committed_poolA,n_active_evtols,first_stage_cost,committed_missed,poolB_appeared,poolB_served,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Vinter,1,1,E-Mod / AboveZero,0,-5623.3530383743,3516.927437314761,3596.9274373147564,0,3,17400.0,0,23,3,0.12435897435897436,102.0,1,0.0
Vinter,1,2,S-Mod / AboveZero,0,-5623.3530383743,20047.49538496969,20587.4953849697,0,3,17400.0,0,32,7,0.14145299145299145,191.0,1,10.0
Vinter,1,3,S-Mild / Cold,0,-5623.3530383743,0.0,0.0,0,3,17400.0,0,31,0,0.0,0.0,0,0.0
Vinter,1,4,N-Mild / AboveZero,0,-5623.3530383743,18444.639119355827,18884.639119355834,0,3,17400.0,0,34,6,0.1282051282051282,181.0,1,10.0
Vinter,1,5,W-Str / AboveZero,1,-5623.3530383743,29092.25763956388,29972.257639563897,0,3,17400.0,0,34,7,0.14897119341563786,122.0,4,16.0
Vinter,1,6,N-Mod / Cold,0,-5623.3530383743,18833.002446951534,19933.00244695154,0,3,17400.0,0,34,5,0.14017094017094017,140.0,2,4.5
Vinter,1,7,E-Mild / AboveZero,0,-5623.3530383743,23269.47502891034,23809.475028910354,0,3,17400.0,0,23,5,0.12863247863247862,179.0,1,13.0
Vinter,1,8,E-Mild / AboveZero,0,-5623.3530383743,14984.253819781952,15344.253819781949,0,3,17400.0,0,34,4,0.11538461538461539,60.0,2,5.5
Vinter,1,9,E-Mild / AboveZero,0,-5623.3530383743,15124.900310525918,15644.900310525918,0,3,17400.0,0,32,4,0.2016025641025641,116.0,3,7.333333333333333
Vinter,1,10,E-Mild / AboveZero,0,-5623.3530383743,17519.948109677942,17879.948109677942,0,3,17400.0,0,26,4,0.12467948717948718,141.0,1,0.0
Vinter,2,1,E-Mild / AboveZero,0,-3707.5916204809164,18960.830915287068,19320.830915287068,0,2,17000.0,0,33,4,0.1544871794871795,131.0,1,13.0
Vinter,2,2,W-Mild / VeryCold,1,-3707.5916204809164,2438.520533161415,2798.5205331614125,0,2,17000.0,0,26,2,0.18395061728395062,51.0,1,16.0
Vinter,2,3,S-Mild / AboveZero,0,-3707.5916204809164,14286.662509784459,14566.662509784459,0,2,17000.0,0,30,3,0.11538461538461539,55.0,2,14.0
Vinter,2,4,N-Mild / AboveZero,0,-3707.5916204809164,11099.312876090422,11459.312876090422,0,2,17000.0,0,27,4,0.15384615384615385,150.0,1,13.0
Vinter,2,5,W-Mod / AboveZero,0,-3707.5916204809164,15719.483709571425,16179.483709571432,0,2,17000.0,0,33,5,0.2108974358974359,138.0,3,13.666666666666666
Vinter,2,6,E-Mod / AboveZero,0,-3707.5916204809164,8878.352080645585,9078.352080645582,0,2,17000.0,0,26,3,0.17243589743589743,47.0,3,7.333333333333333
Vinter,2,7,W-Mild / AboveZero,0,-3707.5916204809164,5099.685966199445,5219.685966199446,0,2,17000.0,0,29,2,0.13333333333333333,62.0,2,11.5
Vinter,2,8,S-Mild / VeryCold,1,-3707.5916204809164,1439.2123290926447,1439.2123290926447,0,2,17000.0,0,33,1,0.07407407407407407,32.0,0,0.0
Vinter,2,9,N-Mild / AboveZero,0,-3707.5916204809164,20581.362221118976,21121.362221118983,0,2,17000.0,0,24,5,0.17307692307692307,90.0,3,9.333333333333334
Vinter,2,10,N-Mild / AboveZero,0,-3707.5916204809164,28206.38072967291,28746.380729672925,0,2,17000.0,0,33,6,0.20192307692307693,30.0,5,7.2
