day,label,profit,missA,onDemB,appearedB
1,N_moderate / AboveZero,231.0716299739379,0,2,8
2,SW_moderate / AboveZero,-39496.11953015076,1,2,5
3,W_moderate / AboveZero,-33853.25362989939,1,3,5
4,E_moderate / AboveZero,15317.918511119067,0,2,7
5,SW_strong / AboveZero,-697.8232142950201,0,3,6
6,W_moderate / AboveZero,-38617.25362989938,1,2,5
7,E_moderate / AboveZero,-2785.375842207516,0,1,4
8,E_moderate / AboveZero,6364.91487364522,0,1,5
9,S_moderate / AboveZero,8581.91851111907,0,0,4
10,S_moderate / AboveZero,-4122.042344489177,0,0,5
11,S_moderate / AboveZero,16656.78441137045,0,2,3
12,SW_moderate / AboveZero,-41868.11953015077,1,1,4
13,E_moderate / AboveZero,10573.918511119075,0,1,4
14,N_strong / AboveZero,10933.918511119075,0,1,2
15,SW_moderate / AboveZero,-34752.11953015077,1,3,5
16,SW_strong / AboveZero,1060.1659810710978,0,1,2
17,E_moderate / AboveZero,12945.91851111907,0,1,3
18,N_strong / AboveZero,13225.91851111907,0,1,5
19,SW_moderate / AboveZero,10953.918511119075,0,1,4
20,SW_moderate / AboveZero,10953.918511119075,0,1,3
21,N_moderate / AboveZero,8481.918511119075,0,0,7
22,W_moderate / AboveZero,10953.918511119075,0,1,4
23,Calm / AboveZero,4808.784411370458,0,0,4
24,E_moderate / AboveZero,15317.918511119067,0,2,8
25,SW_strong / AboveZero,-5798.283050460354,0,2,3
26,W_strong / AboveZero,6612.344681562387,0,2,4
27,SW_moderate / AboveZero,-37124.11953015077,1,2,4
28,N_moderate / AboveZero,10953.880840211714,0,2,7
29,E_moderate / AboveZero,11532.784411370452,0,1,4
30,E_moderate / AboveZero,12945.91851111907,0,1,5
31,N_strong / AboveZero,16536.78441137045,0,2,5
32,E_moderate / AboveZero,10613.918511119075,0,1,6
33,SW_moderate / AboveZero,-37124.11953015077,1,2,7
34,W_moderate / AboveZero,8581.91851111907,0,0,4
35,N_moderate / AboveZero,11792.784411370452,0,1,4
36,W_strong / AboveZero,11010.16598107109,0,3,5
37,W_strong / AboveZero,-8892.241203992,0,3,5
38,SW_moderate / AboveZero,-31441.25362989939,1,4,7
39,E_moderate / AboveZero,16276.784411370449,0,2,7
40,SW_moderate / AboveZero,16636.78441137045,0,2,7
41,S_moderate / AboveZero,8581.918511119075,0,0,4
42,SW_moderate / AboveZero,-34752.11953015077,1,3,6
43,SW_strong / AboveZero,1057.3673381424842,0,3,7
44,W_moderate / AboveZero,-36245.25362989939,1,3,5
45,W_moderate / AboveZero,-41888.11953015076,1,1,6
46,N_strong / AboveZero,11792.784411370449,0,1,4
47,E_moderate / AboveZero,15357.918511119067,0,2,6
48,S_moderate / AboveZero,15697.918511119067,0,2,6
49,W_strong / AboveZero,-4147.316202363465,0,2,5
50,S_moderate / AboveZero,15697.918511119067,0,2,6
51,W_moderate / AboveZero,-37144.11953015077,1,2,4
